code,name,locality,latitude,longitude,geometry
1,Aguelhoc,83001001,,,
2,Anderamboukane 1,74001000,,,
3,Anefif,81001000,,,
4,Bamako,91000000,,,
5,Boni 1,55031063,,,
6,Bourem,73091000,,,
7,Dire,62091000,,,
8,Djebock,71001105,,,
9,Gao centre 1,71091000,,,
10,Gossi 1,64019249,,,
11,Goundam 1,63091000,,,
12,N'Tillit,71037901,,,
13,Kidal centre ,81091841,,,
14,Labezanga,72037774,,,
15,lere,65045661,,,
16,Menaka 1,74045761,,,
17,Soumpi,65078856,,,
18,Tenenkou,57091001,,,
19,Tessalit,83030853,,,
20,Tombouctou 1,61091000,,,
21,youwarou,58073000,,,
24,bambara Maoude,64001073,,,
25,Essakane,63026451,,,
27,Nampala,45029000,,,
28,Gourma Rharous,64000000,,,
33,Niono,45036000,,,
35,Ségou,41091000,,,
36,Douentza,55091000,,,
37,Menaka 2,74045761,,,
38,Tombouctou 2,61091000,,,
39,Goundam 2,63091000,,,
40,Anderamboukane 2,74001000,,,
41,Gao centre 2,71091000,,,
42,Gossi 2,64019249,,,
43,Boni 2,55031063,,,
44,Niafunké,65067628,,,
